# { Experiment : TSP; Iterations : 20000; Runtime (ms) : 7359; }
# { HyperParameters : { Elites: 25.00%; Mutants: 15.00%; Elite Bias: 75.00% } }
# { Population : PopulationCount 96; InitialFitness : 108447.00; FinalFitness : 22878.00 }
# { DecodedChromosome : [ <5>, <34>, <41>, <3>, <22>, <16>, <1>, <9>, <8>, <38>, <31>, <44>, <18>, <7>, <28>, <6>, <37>, <19>, <17>, <27>, <43>, <30>, <36>, <46>, <33>, <15>, <40>, <12>, <20>, <11>, <23>, <47>, <21>, <32>, <24>, <10>, <45>, <35>, <4>, <26>, <42>, <2>, <29>, <14>, <13>, <25>, <39>, <48> ] }
Iteration, Fitness, Time
941, 33429.00, 0
942, 33429.00, 0
943, 33429.00, 0
944, 33406.00, 0
945, 33406.00, 0
946, 33406.00, 0
947, 33406.00, 0
948, 33406.00, 0
949, 33406.00, 0
950, 33406.00, 1
951, 33406.00, 0
952, 33406.00, 0
953, 33406.00, 0
954, 33406.00, 0
955, 33406.00, 0
956, 33406.00, 0
957, 33406.00, 0
958, 33406.00, 0
959, 33406.00, 0
960, 33406.00, 0
961, 33406.00, 0
962, 33406.00, 0
963, 33406.00, 0
964, 33406.00, 0
965, 33406.00, 0
966, 33406.00, 0
967, 33406.00, 0
968, 33406.00, 0
969, 33406.00, 0
970, 33406.00, 0
971, 33406.00, 0
972, 33406.00, 0
973, 33406.00, 0
974, 33406.00, 0
975, 33406.00, 0
976, 33406.00, 0
977, 33406.00, 0
978, 33406.00, 0
979, 33406.00, 0
980, 33406.00, 1
981, 33406.00, 0
982, 33406.00, 0
983, 33406.00, 0
984, 33406.00, 0
985, 33406.00, 0
986, 33406.00, 0
987, 33406.00, 0
988, 33406.00, 0
989, 33406.00, 0
990, 33406.00, 0
991, 33406.00, 0
992, 33406.00, 0
993, 33406.00, 0
994, 33406.00, 0
995, 33406.00, 1
996, 33406.00, 0
997, 33392.00, 0
998, 33392.00, 0
999, 33392.00, 0
1000, 33385.00, 0
1001, 33385.00, 0
1002, 33385.00, 0
1003, 33385.00, 0
1004, 33385.00, 0
1005, 33374.00, 0
1006, 33374.00, 0
1007, 33374.00, 1
1008, 33374.00, 0
1009, 33374.00, 0
1010, 33374.00, 0
1011, 33374.00, 0
1012, 33374.00, 0
1013, 33374.00, 0
1014, 33374.00, 0
1015, 33374.00, 0
1016, 33374.00, 0
1017, 33374.00, 0
1018, 33220.00, 0
1019, 33220.00, 0
1020, 33220.00, 0
1021, 33220.00, 0
1022, 33220.00, 0
1023, 33220.00, 0
1024, 33220.00, 0
1025, 33220.00, 0
1026, 33220.00, 1
1027, 33220.00, 0
1028, 33220.00, 0
1029, 33220.00, 0
1030, 33220.00, 0
1031, 33220.00, 0
1032, 33220.00, 0
1033, 33220.00, 1
1034, 33220.00, 0
1035, 33220.00, 0
1036, 33220.00, 0
1037, 33220.00, 0
1038, 33220.00, 0
1039, 33220.00, 0
1040, 33220.00, 0
1041, 33220.00, 0
1042, 33220.00, 0
1043, 33220.00, 0
1044, 33220.00, 0
1045, 33220.00, 1
1046, 33220.00, 0
1047, 33220.00, 0
1048, 33220.00, 0
1049, 33220.00, 0
1050, 33220.00, 0
1051, 33156.00, 0
1052, 33156.00, 0
1053, 33156.00, 0
1054, 33156.00, 0
1055, 33156.00, 0
1056, 33156.00, 0
1057, 33156.00, 0
1058, 33156.00, 0
1059, 33156.00, 0
1060, 33156.00, 0
1061, 33156.00, 0
1062, 33156.00, 0
1063, 33156.00, 1
1064, 33156.00, 0
1065, 33156.00, 0
1066, 33156.00, 0
1067, 33156.00, 0
1068, 33156.00, 0
1069, 33156.00, 0
1070, 33156.00, 0
1071, 33156.00, 0
1072, 33156.00, 0
1073, 33156.00, 0
1074, 33156.00, 1
1075, 33156.00, 0
1076, 33156.00, 0
1077, 33156.00, 0
1078, 33156.00, 0
1079, 33156.00, 0
1080, 33156.00, 0
1081, 33156.00, 1
1082, 33156.00, 0
1083, 33156.00, 0
1084, 33156.00, 0
1085, 33156.00, 0
1086, 33156.00, 0
1087, 33156.00, 0
1088, 33156.00, 0
1089, 33156.00, 0
1090, 33156.00, 0
1091, 33156.00, 0
1092, 33032.00, 0
1093, 33032.00, 1
1094, 33032.00, 0
1095, 33032.00, 0
1096, 33032.00, 0
1097, 33032.00, 0
1098, 33032.00, 0
1099, 33032.00, 0
1100, 33032.00, 0
1101, 33032.00, 1
1102, 33032.00, 0
1103, 33032.00, 0
1104, 33032.00, 0
1105, 33032.00, 0
1106, 33032.00, 0
1107, 33032.00, 0
1108, 33032.00, 1
1109, 33032.00, 0
1110, 33032.00, 0
1111, 33032.00, 0
1112, 33032.00, 0
1113, 32901.00, 0
1114, 32901.00, 0
1115, 32901.00, 0
1116, 32901.00, 0
1117, 32901.00, 0
1118, 32901.00, 0
1119, 32901.00, 0
1120, 32901.00, 1
1121, 32901.00, 0
1122, 32901.00, 0
1123, 32901.00, 0
1124, 32901.00, 0
1125, 32409.00, 0
1126, 32409.00, 0
1127, 32409.00, 1
1128, 32409.00, 0
1129, 32409.00, 0
1130, 32409.00, 0
1131, 32409.00, 0
1132, 32409.00, 0
1133, 32409.00, 0
1134, 32409.00, 0
